Site_Type	Project_ID	Observation_ID	Observer_Code	Observation_Serial	Observation_Description	Observation_Label	Observation_Type	Latitude	Longitude	Error	Date	Prefix	Year	Mon	Day	Nation	State	County	Island	FIPS	Elevation	Community_Name	Community_Description	Structure	Landscape	HillslopePosition	Position	Aspect	Slope	PlotBearing	Map Unit	Soil Series	Soil Taxon	Drainage Class	Restriction_Depth	WT_Depth	MinWT_Depth	Soil_Notes	Litter_Cover	Snag_Count	Snag_Diam	Plot_Area_m	BA_Count	BA_Factor	Cowardin	HGM	f1	f2	f3	s1	s2	s3	t1	t2	t3	t4	Tree_Cover	Subcanopy_Cover	TallShrub_Cover	Shrub_Cover	Herb_Cover	Moss_Cover	Aggregated_Overstory	Aggregated_Subcanopy	Aggregated_TallShrub	Aggregated_Shrub	Aggregated_Understory	Estimated_Understory	DWD_Hits1	DWD_Hits2	DWD_Hits3	DWD_Hits4	DWD_Hits5	Transect_Length	Log_Cover	Rock_Cover	Lichen_Cover	Water_Cover	MaxWater_Cover	DBH_lower	DBH_upper	Canopy_lower	Canopy_upper	User_Pedon_ID	User_Plot_ID	SoilTexture	TPI	Upper	Middle	Lower	Coastal	Floodplain	Inland	Hydric	Nonhydric	Aquatic	Wet	Moist	Dry	Mucky	Rocky	Sandy	Loamy	Calcareous	Euic	Dysic	Salty	Fresh	Natural	Seminatural	Cultural	MLRA	Cold	Cool	Mild	Warm	Hot	Humid	Subhumid	Arid	Microthermal	Mesothermal	Megathermal
153D dry sandy coastal		.2023.TOL.NB.32	TOL.NB	32		2023NJ029200	Low Intensity Plot: Cover	39.8144927	-74.0901951997	10	0		2023	08	08	USA	New Jersey	Ocean County		34029	7	Ammophila breviligulata-Carex kobomugi		grassland					50		Hooksan fine sand, 2 to 10 percent slopes	Hooksan	Mesic, uncoated Typic Quartzipsamments	excessively	500.0	500.0	500.0							10			0.1	0.25	0.5	1	2	5	8	12	25	35							0				24.979																		2023NJ029200			Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	153D	No	No	No	Yes	No	Yes	No	No	Yes	No	No
153D dry sandy coastal		.2023.TOL.NB.33	TOL.NB	33		2023NJ029201	Low Intensity Plot: Cover	39.8146271	-74.0908416	10	0		2023	08	08	USA	New Jersey	Ocean County		34029	6	Prunus maritima-Prunus serotina		shrubland		TS			10		Hooksan fine sand, 2 to 10 percent slopes	Hooksan	Mesic, uncoated Typic Quartzipsamments	excessively	500.0	500.0	500.0							10			0.1	0.25	0.5	1	2	5	8	12	25	35							0				85.444																		2023NJ029201			No	Yes	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	Yes	No	No	153D	No	No	No	Yes	No	Yes	No	No	Yes	No	No
153D wet sandy coastal		.2023.TOL.NB.34	TOL.NB	34		2023NJ029202	Low Intensity Plot: Cover	39.8142655997	-74.0915071997	10	0		2023	08	08	USA	New Jersey	Ocean County		34029	3	Acer rubrum/Toxicodendron radicans		shrubland					1		Fox Hill fine sand, 0 to 2 percent slopes, frequently flooded	Fox Hill	Siliceous, mesic Sodic Psammaquents	poorly	500.0	500.0	500.0							10			0.1	0.25	0.5	1	2	5	8	12	25	35				10	70		0			14.721	31.91																		2023NJ029202			No	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	No	Yes	No	153D	No	No	No	Yes	No	Yes	No	No	Yes	No	No
loamy inland		0	GRR.GJS	0		Sevier County, Tennessee 1715m #0	General	35.6479723565	-83.4413665122	10	0		0000	00	00	USA	Tennessee	Sevier County		47155	1715							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		1	GRR.GJS	0		Swain County, North Carolina 1807m #1	General	35.557215748	-83.5000400549	10	0		0000	00	00	USA	North Carolina	Swain County		37173	1807							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		10	GRR.GJS	0		Humboldt County, California 169m #10	General	41.3287471339	-123.996101785	10	0		0000	00	00	USA	California	Humboldt County			169							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		100	GRR.GJS	0		Garrard County, Kentucky 289m #100	General	37.6304113705	-84.551620539	10	0		0000	00	00	USA	Kentucky	Garrard County		21079	289							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		101	GRR.GJS	0		Iosco County, Michigan 187m #101	General	44.4871256915	-83.3324442061	10	0		0000	00	00	USA	Michigan	Iosco County			186							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		102	GRR.GJS	0		Charlevoix County, Michigan 238m #102	General	45.6292669743	-85.5563479487	10	0		0000	00	00	USA	Michigan	Charlevoix County	Beaver I.	26029	232.869							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		103	GRR.GJS	0		Keweenaw County, Michigan 439m #103	General	47.3617525326	-88.2061553825	10	0		0000	00	00	USA	Michigan	Keweenaw County	Keweenaw Pen.	26083	439							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		11	GRR.GJS	0		Carter County, Missouri 282m #11	General	36.8872848781	-91.1571604433	10	0		0000	00	00	USA	Missouri	Carter County			282							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		12	GRR.GJS	0		Morgan County, Tennessee 997m #12	General	36.1487695829	-84.4565585932	10	0		0000	00	00	USA	Tennessee	Morgan County			997							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		13	GRR.GJS	0		Knox County, Tennessee 324m #13	General	36.0119981643	-83.9364560065	10	0		0000	00	00	USA	Tennessee	Knox County		47093	324							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		14	GRR.GJS	0		Buncombe County, North Carolina 559m #14	General	35.6917227129	-82.6164896712	10	0		0000	00	00	USA	North Carolina	Buncombe County		37021	559							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		15	GRR.GJS	0		Yancey County, North Carolina 1987m #15	General	35.7657239502	-82.2651820826	10	0		0000	00	00	USA	North Carolina	Yancey County		37199	1987							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		16	GRR.GJS	0		Sevier County, Tennessee 417m #16	General	35.7172820898	-83.5045937484	10	0		0000	00	00	USA	Tennessee	Sevier County			417							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
loamy inland		17	GRR.GJS	0		Sevier County, Tennessee 837m #17	General	35.682066067	-83.4760402163	10	0		0000	00	00	USA	Tennessee	Sevier County			837							0	0						500.0	500.0											0.1	0.5	0.5	2	5	5	10	20	35	50																																No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No		No	No	No	No	No	No	No	No	No	No	No
