"APG_IV_sort","phylum","subphylum","superclass","class","subclass","superorder","order","family"
10010,"Tracheophyta","Lycopodiophytina","Lycophytes","Lycopodiopsida","Lycopodiidae","Lycopodiane","Lycopodiales","Lycopodiaceae"
10020,"Tracheophyta","Lycopodiophytina","Lycophytes","Lycopodiopsida","Lycopodiidae","Isoetanae","Isoetales","Isoetaceae"
10030,"Tracheophyta","Lycopodiophytina","Lycophytes","Lycopodiopsida","Lycopodiidae","Selaginellanae","Selaginellales","Selaginellaceae"
20010,"Tracheophyta","Polypodiophytina","Monilophytes","Equisetopsida","Equisetidae","Equisetanae","Equisetales","Equisetaceae"
20020,"Tracheophyta","Polypodiophytina","Monilophytes","Ophioglossopsida","Ophioglossidae","Ophioglossianae","Ophioglossales","Ophioglossaceae"
20030,"Tracheophyta","Polypodiophytina","Monilophytes","Ophioglossopsida","Psilotopsidae","Psilotanae","Psilotales","Psilotaceae"
20040,"Tracheophyta","Polypodiophytina","Monilophytes","Marattiopsida","Marattiidae","Marattianae","Marattiales","Marattiaceae"
20050,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Osmundanae","Osmundales","Osmundaceae"
20060,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Hymenophyllane","Hymenophyllales","Hymenophyllaceae"
20070,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Gleichenianae","Gleicheniales","Gleicheniaceae"
20080,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Gleichenianae","Gleicheniales","Dipteridaceae"
20090,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Gleichenianae","Gleicheniales","Matoniaceae"
20100,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Schizaeinae","Schizaeales","Lygodiaceae"
20110,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Schizaeinae","Schizaeales","Schizaeaceae"
20120,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Schizaeinae","Schizaeales","Anemiaceae"
20130,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Salvinianae","Salviniales","Marsileaceae"
20140,"Tracheophyta","Polypodiophytina","Monilophytes","Polypodiopsida","Polypodiidae","Salvinianae","Salviniales","Salviniaceae"
