"family","genus","ac"
"Lycopodiaceae","Dendrolycopodium",TRUE
"Lycopodiaceae","Diphasiastrum",TRUE
"Lycopodiaceae","Huperzia",TRUE
"Lycopodiaceae","Lycopodiella",TRUE
"Lycopodiaceae","Lycopodium",TRUE
"Lycopodiaceae","Palhinhaea",TRUE
"Lycopodiaceae","Phlegmariurus",TRUE
"Lycopodiaceae","Pseudolycopodiella",TRUE
"Lycopodiaceae","Spinulum",TRUE
"Isoetaceae","Isoetes",TRUE
"Selaginellaceae","Lycopodioides",TRUE
"Selaginellaceae","Selaginella",TRUE
"Equisetaceae","Equisetum",TRUE
"Ophioglossaceae","Botrychium",TRUE
"Ophioglossaceae","Botrypus",TRUE
"Ophioglossaceae","Cheiroglossa",TRUE
"Ophioglossaceae","Helminthostachys",TRUE
"Ophioglossaceae","Mankyua",TRUE
"Ophioglossaceae","Ophioderma",TRUE
"Ophioglossaceae","Ophioglossum",TRUE
"Ophioglossaceae","Sceptridium",TRUE
"Psilotaceae","Psilotum",TRUE
"Psilotaceae","Tmesipteris",TRUE
"Marattiaceae","Angiopteris",TRUE
"Marattiaceae","Christensenia",TRUE
"Marattiaceae","Danaea",TRUE
"Marattiaceae","Eupodium",TRUE
"Marattiaceae","Marattia",TRUE
"Marattiaceae","Ptisana",TRUE
"Osmundaceae","Leptopteris",TRUE
"Osmundaceae","Osmunda",TRUE
"Osmundaceae","Osmundastrum",TRUE
"Osmundaceae","Todea",TRUE
"Hymenophyllaceae","Abrodictyum",TRUE
"Hymenophyllaceae","Callistopteris",TRUE
"Hymenophyllaceae","Cephalomanes",TRUE
"Hymenophyllaceae","Crepidomanes",TRUE
"Hymenophyllaceae","Didymoglossum",TRUE
"Hymenophyllaceae","Hymenophyllum",TRUE
"Hymenophyllaceae","Polyphlebium",TRUE
"Hymenophyllaceae","Trichomanes",TRUE
"Hymenophyllaceae","Vandenboschia",TRUE
"Gleicheniaceae","Dicranopteris",TRUE
"Gleicheniaceae","Diplopterygium",TRUE
"Gleicheniaceae","Gleichenella",TRUE
"Gleicheniaceae","Gleichenia",TRUE
"Gleicheniaceae","Sticherus",TRUE
"Gleicheniaceae","Stromatopteris",TRUE
"Dipteridaceae","Cheiropleuria",TRUE
"Dipteridaceae","Dipteris",TRUE
"Matoniaceae","Matonia",TRUE
"Matoniaceae","Phanerosorus",TRUE
"Lygodiaceae","Lygodium",TRUE
"Schizaeaceae","Actinostachys",TRUE
"Schizaeaceae","Schizaea",TRUE
"Anemiaceae","Anemia",TRUE
"Marsileaceae","Marsilea",TRUE
"Marsileaceae","Pilularia",TRUE
"Marsileaceae","Regnellidium",TRUE
"Salviniaceae","Azolla",TRUE
"Salviniaceae","Salvinia",TRUE
"Thyrsopteridaceae","Thyrsopteris",TRUE
"Loxsomataceae","Loxsoma",TRUE
"Loxsomataceae","Loxsomopsis",TRUE
"Culcitaceae","Culcita",TRUE
"Plagiogyriaceae","Plagiogyria",TRUE
"Cibotiaceae","Cibotium",TRUE
"Cyatheaceae","Alsophila",TRUE
"Cyatheaceae","Cnemidaria",TRUE
"Cyatheaceae","Cyathea",TRUE
"Cyatheaceae","Gymnosphaera",TRUE
"Cyatheaceae","Sphaeropteris",TRUE
"Cyatheaceae","Trichipteris",TRUE
"Dicksoniaceae","Calochlaena",TRUE
"Dicksoniaceae","Dicksonia",TRUE
"Dicksoniaceae","Lophosoria",TRUE
"Metaxyaceae","Metaxya",TRUE
"Lonchitidaceae","Lonchitis",TRUE
"Saccolomataceae","Saccoloma",TRUE
"Cystodiaceae","Cystodium",TRUE
"Lindsaeaceae","× Lindsaeosoria",TRUE
"Lindsaeaceae","Lindsaea",TRUE
"Lindsaeaceae","Nesolindsaea",TRUE
"Lindsaeaceae","Odontosoria",TRUE
"Lindsaeaceae","Osmolindsaea",TRUE
"Lindsaeaceae","Sphenomeris",TRUE
"Lindsaeaceae","Tapeinidium",TRUE
"Lindsaeaceae","Xyropteris",TRUE
"Dennstaedtiaceae","Blotiella",TRUE
"Dennstaedtiaceae","Dennstaedtia",TRUE
"Dennstaedtiaceae","Histiopteris",TRUE
"Dennstaedtiaceae","Hypolepis",TRUE
"Dennstaedtiaceae","Leptolepia",TRUE
"Dennstaedtiaceae","Microlepia",TRUE
"Dennstaedtiaceae","Monachosorum",TRUE
"Dennstaedtiaceae","Oenotrichia",TRUE
"Dennstaedtiaceae","Paesia",TRUE
"Dennstaedtiaceae","Pteridium",TRUE
"Pteridaceae","Acrostichum",TRUE
"Pteridaceae","Actiniopteris",TRUE
"Pteridaceae","Adiantopsis",TRUE
"Pteridaceae","Adiantum",TRUE
"Pteridaceae","Aleuritopteris",TRUE
"Pteridaceae","Allosorus",TRUE
"Pteridaceae","Ananthacorus",TRUE
"Pteridaceae","Anetium",TRUE
"Pteridaceae","Anogramma",TRUE
"Pteridaceae","Antrophyum",TRUE
"Pteridaceae","Argyrochosma",TRUE
"Pteridaceae","Aspidotis",TRUE
"Pteridaceae","Aspleniopsis",TRUE
"Pteridaceae","Astrolepis",TRUE
"Pteridaceae","Austrogramme",TRUE
"Pteridaceae","Bommeria",TRUE
"Pteridaceae","Calciphilopteris",TRUE
"Pteridaceae","Cassebeera",TRUE
"Pteridaceae","Ceratopteris",TRUE
"Pteridaceae","Cerosora",TRUE
"Pteridaceae","Cheilanthes",TRUE
"Pteridaceae","Cheiloplecton",TRUE
"Pteridaceae","Coniogramme",TRUE
"Pteridaceae","Cosentinia",TRUE
"Pteridaceae","Cryptogramma",TRUE
"Pteridaceae","Doryopteris",TRUE
"Pteridaceae","Eriosorus",TRUE
"Pteridaceae","Gaga",TRUE
"Pteridaceae","Gymnopteris",TRUE
"Pteridaceae","Haplopteris",TRUE
"Pteridaceae","Hecistopteris",TRUE
"Pteridaceae","Hemionitis",TRUE
"Pteridaceae","Jamesonia",TRUE
"Pteridaceae","Llavea",TRUE
"Pteridaceae","Mildella",TRUE
"Pteridaceae","Monogramma",TRUE
"Pteridaceae","Myriopteris",TRUE
"Pteridaceae","Nephopteris",TRUE
"Pteridaceae","Notholaena",TRUE
"Pteridaceae","Oeosporangium",TRUE
"Pteridaceae","Onychium",TRUE
"Pteridaceae","Paraceterach",TRUE
"Pteridaceae","Paragymnopteris",TRUE
"Pteridaceae","Pellaea",TRUE
"Pteridaceae","Pentagramma",TRUE
"Pteridaceae","Pityrogramma",TRUE
"Pteridaceae","Platyloma",TRUE
"Pteridaceae","Platyzoma",TRUE
"Pteridaceae","Polytaenium",TRUE
"Pteridaceae","Pteris",TRUE
"Pteridaceae","Pterozonium",TRUE
"Pteridaceae","Radiovittaria",TRUE
"Pteridaceae","Rheopteris",TRUE
"Pteridaceae","Scoliosorus",TRUE
"Pteridaceae","Syngramma",TRUE
"Pteridaceae","Taenitis",TRUE
"Pteridaceae","Trachypteris",TRUE
"Pteridaceae","Tryonella",TRUE
"Pteridaceae","Tryonia",TRUE
"Pteridaceae","Vittaria",TRUE
"Cystopteridaceae","Acystopteris",TRUE
"Cystopteridaceae","Cystoathyrium",TRUE
"Cystopteridaceae","Cystopteris",TRUE
"Cystopteridaceae","Gymnocarpium",TRUE
"Rhachidosoraceae","Rhachidosorus",TRUE
"Diplaziopsidaceae","Diplaziopsis",TRUE
"Diplaziopsidaceae","Homalosorus",TRUE
"Hemidictyaceae","Hemidictyum",TRUE
"Aspleniaceae","Asplenium",TRUE
"Aspleniaceae","Holodictyum",TRUE
"Aspleniaceae","Hymenasplenium",TRUE
"Aspleniaceae","Loxoscaphe",TRUE
"Aspleniaceae","Schaffneria",TRUE
"Thelypteridaceae","Amauropelta",TRUE
"Thelypteridaceae","Amblovenatum",TRUE
"Thelypteridaceae","Christella",TRUE
"Thelypteridaceae","Coryphopteris",TRUE
"Thelypteridaceae","Cyclosorus",TRUE
"Thelypteridaceae","Goniopteris",TRUE
"Thelypteridaceae","Macrothelypteris",TRUE
"Thelypteridaceae","Meniscium",TRUE
"Thelypteridaceae","Oreopteris",TRUE
"Thelypteridaceae","Parathelypteris",TRUE
"Thelypteridaceae","Phegopteris",TRUE
"Thelypteridaceae","Pneumatopteris",TRUE
"Thelypteridaceae","Pseudophegopteris",TRUE
"Thelypteridaceae","Stegnogramma",TRUE
"Thelypteridaceae","Steiropteris",TRUE
"Thelypteridaceae","Thelypteris",TRUE
"Woodsiaceae","Woodsia",TRUE
"Athyriaceae","Anisocampium",TRUE
"Athyriaceae","Athyrium",TRUE
"Athyriaceae","Cornopteris",TRUE
"Athyriaceae","Deparia",TRUE
"Athyriaceae","Diplazium",TRUE
"Onocleaceae","Matteuccia",TRUE
"Onocleaceae","Onoclea",TRUE
"Onocleaceae","Onocleopsis",TRUE
"Onocleaceae","Pentarhizidium",TRUE
"Blechnaceae","Anchistea",TRUE
"Blechnaceae","Austroblechnum",TRUE
"Blechnaceae","Blechnopsis",TRUE
"Blechnaceae","Blechnum",TRUE
"Blechnaceae","Brainea",TRUE
"Blechnaceae","Doodia",TRUE
"Blechnaceae","Lomaridium",TRUE
"Blechnaceae","Lomariocycas",TRUE
"Blechnaceae","Lorinseria",TRUE
"Blechnaceae","Parablechnum",TRUE
"Blechnaceae","Pteridoblechnum",TRUE
"Blechnaceae","Sadleria",TRUE
"Blechnaceae","Salpichlaena",TRUE
"Blechnaceae","Stenochlaena",TRUE
"Blechnaceae","Struthiopteris",TRUE
"Blechnaceae","Telmatoblechnum",TRUE
"Blechnaceae","Woodwardia",TRUE
"Hypodematiaceae","Didymochlaena",TRUE
"Hypodematiaceae","Hypodematium",TRUE
"Hypodematiaceae","Leucostegia",TRUE
"Dryopteridaceae","× Dryostichum",TRUE
"Dryopteridaceae","Acrophorus",TRUE
"Dryopteridaceae","Adenoderris",TRUE
"Dryopteridaceae","Arachniodes",TRUE
"Dryopteridaceae","Arthrobotrya",TRUE
"Dryopteridaceae","Bolbitis",TRUE
"Dryopteridaceae","Coveniella",TRUE
"Dryopteridaceae","Ctenitis",TRUE
"Dryopteridaceae","Cyclodium",TRUE
"Dryopteridaceae","Cyrtogonellum",TRUE
"Dryopteridaceae","Cyrtomidictyum",TRUE
"Dryopteridaceae","Cyrtomium",TRUE
"Dryopteridaceae","Dryopolystichum",TRUE
"Dryopteridaceae","Dryopteris",TRUE
"Dryopteridaceae","Elaphoglossum",TRUE
"Dryopteridaceae","Lastreopsis",TRUE
"Dryopteridaceae","Lomagramma",TRUE
"Dryopteridaceae","Maxonia",TRUE
"Dryopteridaceae","Megalastrum",TRUE
"Dryopteridaceae","Mickelia",TRUE
"Dryopteridaceae","Nothoperanema",TRUE
"Dryopteridaceae","Olfersia",TRUE
"Dryopteridaceae","Parapolystichum",TRUE
"Dryopteridaceae","Phanerophlebia",TRUE
"Dryopteridaceae","Polybotrya",TRUE
"Dryopteridaceae","Polystichopsis",TRUE
"Dryopteridaceae","Polystichum",TRUE
"Dryopteridaceae","Rumohra",TRUE
"Dryopteridaceae","Stenolepia",TRUE
"Dryopteridaceae","Stigmatopteris",TRUE
