"family","genus"
"Lycopodiaceae","Dendrolycopodium"
"Lycopodiaceae","Diphasiastrum"
"Lycopodiaceae","Huperzia"
"Lycopodiaceae","Lycopodiella"
"Lycopodiaceae","Lycopodium"
"Lycopodiaceae","Palhinhaea"
"Lycopodiaceae","Phlegmariurus"
"Lycopodiaceae","Pseudolycopodiella"
"Lycopodiaceae","Spinulum"
"Isoetaceae","Isoetes"
"Selaginellaceae","Lycopodioides"
"Selaginellaceae","Selaginella"
"Equisetaceae","Equisetum"
"Ophioglossaceae","Botrychium"
"Ophioglossaceae","Botrypus"
"Ophioglossaceae","Cheiroglossa"
"Ophioglossaceae","Helminthostachys"
"Ophioglossaceae","Mankyua"
"Ophioglossaceae","Ophioderma"
"Ophioglossaceae","Ophioglossum"
"Ophioglossaceae","Sceptridium"
"Psilotaceae","Psilotum"
"Psilotaceae","Tmesipteris"
"Marattiaceae","Angiopteris"
"Marattiaceae","Christensenia"
"Marattiaceae","Danaea"
"Marattiaceae","Eupodium"
"Marattiaceae","Marattia"
"Marattiaceae","Ptisana"
"Osmundaceae","Leptopteris"
"Osmundaceae","Osmunda"
"Osmundaceae","Osmundastrum"
"Osmundaceae","Todea"
"Hymenophyllaceae","Abrodictyum"
"Hymenophyllaceae","Callistopteris"
"Hymenophyllaceae","Cephalomanes"
"Hymenophyllaceae","Crepidomanes"
"Hymenophyllaceae","Didymoglossum"
"Hymenophyllaceae","Hymenophyllum"
"Hymenophyllaceae","Polyphlebium"
"Hymenophyllaceae","Trichomanes"
"Hymenophyllaceae","Vandenboschia"
"Gleicheniaceae","Dicranopteris"
"Gleicheniaceae","Diplopterygium"
"Gleicheniaceae","Gleichenella"
"Gleicheniaceae","Gleichenia"
"Gleicheniaceae","Sticherus"
"Gleicheniaceae","Stromatopteris"
"Dipteridaceae","Cheiropleuria"
"Dipteridaceae","Dipteris"
"Matoniaceae","Matonia"
"Matoniaceae","Phanerosorus"
"Lygodiaceae","Lygodium"
"Schizaeaceae","Actinostachys"
"Schizaeaceae","Schizaea"
"Anemiaceae","Anemia"
"Marsileaceae","Marsilea"
"Marsileaceae","Pilularia"
"Marsileaceae","Regnellidium"
"Salviniaceae","Azolla"
"Salviniaceae","Salvinia"
"Thyrsopteridaceae","Thyrsopteris"
"Loxsomataceae","Loxsoma"
"Loxsomataceae","Loxsomopsis"
"Culcitaceae","Culcita"
"Plagiogyriaceae","Plagiogyria"
"Cibotiaceae","Cibotium"
"Cyatheaceae","Alsophila"
"Cyatheaceae","Cnemidaria"
"Cyatheaceae","Cyathea"
"Cyatheaceae","Gymnosphaera"
"Cyatheaceae","Sphaeropteris"
"Cyatheaceae","Trichipteris"
"Dicksoniaceae","Calochlaena"
"Dicksoniaceae","Dicksonia"
"Dicksoniaceae","Lophosoria"
"Metaxyaceae","Metaxya"
"Lonchitidaceae","Lonchitis"
"Saccolomataceae","Saccoloma"
"Cystodiaceae","Cystodium"
"Lindsaeaceae","×Lindsaeosoria"
"Lindsaeaceae","Lindsaea"
"Lindsaeaceae","Nesolindsaea"
"Lindsaeaceae","Odontosoria"
"Lindsaeaceae","Osmolindsaea"
"Lindsaeaceae","Sphenomeris"
"Lindsaeaceae","Tapeinidium"
"Lindsaeaceae","Xyropteris"
"Dennstaedtiaceae","Blotiella"
"Dennstaedtiaceae","Dennstaedtia"
"Dennstaedtiaceae","Histiopteris"
"Dennstaedtiaceae","Hypolepis"
"Dennstaedtiaceae","Leptolepia"
"Dennstaedtiaceae","Microlepia"
"Dennstaedtiaceae","Monachosorum"
"Dennstaedtiaceae","Oenotrichia"
"Dennstaedtiaceae","Paesia"
