"genus","GH","ht.max"
"Dolichotheca","N.B","0"
"Fulfordianthus","N.B","0"
"Habrodon","N.B","0"
"Hageniella","N.B","0"
"Leucodontella","N.B","0"
"Leucophanes","N.B","0"
"Mniobryum","N.B","0"
"Octodiceras","N.B","0"
"Oreoweisia","N.B","0"
"Orthocaulis","N.B","0"
"Anisothecium","N.B","0"
"Anodus","N.B","0"
"Buckiella","N.B","0"
"Campyliadelphus","N.B","0"
"Campylophyllum","N.B","0"
"Catharinea","N.B","0"
"Chamberlainia","N.B","0"
"Crossotolejeunea","N.B","0"
"Cylindrothecium","N.B","0"
"Orthodicranum","N.B","0"
"Pelekium","N.B","0"
"Pilosium","N.B","0"
"Pilotrichella","N.B","0"
"Plectocolea","N.B","0"
"Pleuroclada","N.B","0"
"Pseudo-calliergon","N.B","0"
"Sarmentypnum","N.B","0"
"Schoenobryum","N.B","0"
"Schofieldiella","N.B","0"
"Solenostoma","N.B","0"
"Straminergon","N.B","0"
"Amblystegium","N.B","0"
"Calliergon","N.B","0"
"Calliergonella","N.B","0"
"Campylium","N.B","0"
"Phaeoceros","N.B","0"
"Limprichtia","N.B","0"
"Hamatocaulis","N.B","0"
"Palustriella","N.B","0"
"Leptodictyum","N.B","0"
"Pseudocalliergon","N.B","0"
"Sanionia","N.B","0"
"Conardia","N.B","0"
"Hygrohypnum","N.B","0"
"Sarmenthypnum","N.B","0"
"Drepanocladus","N.B","0"
"Anomodon","N.B","0"
"Warnstorfia","N.B","0"
"Riccardia","N.B","0"
"Hygroamblystegium","N.B","0"
"Anthoceros","N.B","0"
"Cratoneuron","N.B","0"
"Bryum","N.B","0"
"Haplohymenium","N.B","0"
"Herpetineuron","N.B","0"
"Acrobolbus","N.B","0"
"Platylomella","N.B","0"
"Scorpidium","N.B","0"
"Andreaea","N.B","0"
"Archidium","N.B","0"
"Anthelia","N.B","0"
"Platyhypnidium","N.B","0"
"Aneura","N.B","0"
"Arnellia","N.B","0"
"Trematodon","N.B","0"
"Aulacomnium","N.B","0"
"Isothecium","N.B","0"
"Brachythecium","N.B","0"
"Loeskypnum","N.B","0"
"Pohlia","N.B","0"
"Philonotis","N.B","0"
"Eurhynchium","N.B","0"
"Bartramidula","N.B","0"
"Cladopodiella","N.B","0"
"Epipterygium","N.B","0"
"Leptobryum","N.B","0"
"Sciuro-hypnum","N.B","0"
"Scleropodium","N.B","0"
"Mielichhoferia","N.B","0"
"Bartramia","N.B","0"
"Tomentypnum","N.B","0"
"Plagiopus","N.B","0"
"Mannia","N.B","0"
"Palamocladium","N.B","0"
"Cirriphyllum","N.B","0"
"Eurhynchiastrum","N.B","0"
"Steerecleus","N.B","0"
"Conostomum","N.B","0"
"Cephaloziella","N.B","0"
"Cylindrocolea","N.B","0"
"Anomobryum","N.B","0"
"Brachymenium","N.B","0"
"Micromitrium","N.B","0"
"Cephalozia","N.B","0"
"Cryphaea","N.B","0"
"Hygrobiella","N.B","0"
"Orthodontium","N.B","0"
"Plagiobryum","N.B","0"
"Calypogeia","N.B","0"
"Plagiochasma","N.B","0"
"Campylopus","N.B","0"
"Bruchia","N.B","0"
"Nowellia","N.B","0"
"Homalotheciella","N.B","0"
"Encalypta","N.B","0"
"Rhabdoweisia","N.B","0"
"Asterella","N.B","0"
"Dicranum","N.B","0"
"Trachyxiphium","N.B","0"
"Rhynchostegium","N.B","0"
"Diphyscium","N.B","0"
"Calymperes","N.B","0"
"Fontinalis","N.B","0"
"Dicranodontium","N.B","0"
"Dicranoweisia","N.B","0"
"Bryoxiphium","N.B","0"
"Homalothecium","N.B","0"
"Catoscopium","N.B","0"
"Kiaeria","N.B","0"
"Reboulia","N.B","0"
"Buxbaumia","N.B","0"
"Ditrichum","N.B","0"
"Rhodobryum","N.B","0"
"Conocephalum","N.B","0"
"Fabronia","N.B","0"
"Ephemerum","N.B","0"
"Lophozia","N.B","0"
"Paraleucobryum","N.B","0"
"Bryhnia","N.B","0"
"Bryoandersonia","N.B","0"
"Grimmia","N.B","0"
"Odontoschisma","N.B","0"
"Sauteria","N.B","0"
"Climacium","N.B","0"
"Erpodium","N.B","0"
"Syrrhopodon","N.B","0"
"Blasia","N.B","0"
"Cynodontium","N.B","0"
"Dichodontium","N.B","0"
"Dicranella","N.B","0"
"Entodon","N.B","0"
"Pleuridium","N.B","0"
"Hypnum","N.B","0"
"Brachytheciastrum","N.B","0"
"Campylopodiella","N.B","0"
"Callicostella","N.B","0"
"Cyclodictyon","N.B","0"
"Pseudoscleropodium","N.B","0"
"Athalamia","N.B","0"
"Saelania","N.B","0"
"Trichodon","N.B","0"
"Leskea","N.B","0"
"Arctoa","N.B","0"
"Brothera","N.B","0"
"Physcomitrium","N.B","0"
"Fissidens","N.B","0"
"Megaceros","N.B","0"
"Schistidium","N.B","0"
"Chiloscyphus","N.B","0"
"Daltonia","N.B","0"
"Vesicularia","N.B","0"
"Hypopterygium","N.B","0"
"Frullania","N.B","0"
"Ctenidium","N.B","0"
"Hylocomium","N.B","0"
"Funaria","N.B","0"
"Physcomitrella","N.B","0"
"Ulota","N.B","0"
"Fossombronia","N.B","0"
"Platydictya","N.B","0"
"Platygyrium","N.B","0"
"Pseudotaxiphyllum","N.B","0"
"Taxiphyllum","N.B","0"
"Oncophorus","N.B","0"
"Herzogiella","N.B","0"
"Homomallium","N.B","0"
"Helodium","N.B","0"
"Rhizomnium","N.B","0"
"Lejeunea","N.B","0"
"Jaffueliobryum","N.B","0"
"Jungermannia","N.B","0"
"Distichium","N.B","0"
"Lophocolea","N.B","0"
"Gymnomitrion","N.B","0"
"Marsupella","N.B","0"
"Ceratodon","N.B","0"
"Cleistocarpidium","N.B","0"
"Kurzia","N.B","0"
"Lepidozia","N.B","0"
"Telaranea","N.B","0"
"Forsstroemia","N.B","0"
"Racomitrium","N.B","0"
"Leskeella","N.B","0"
"Plagiothecium","N.B","0"
"Rhytidiadelphus","N.B","0"
"Eccremidium","N.B","0"
"Isopterygium","N.B","0"
"Orthothecium","N.B","0"
"Neckera","N.B","0"
"Brachelyma","N.B","0"
"Dichelyma","N.B","0"
"Notothylas","N.B","0"
"Pylaisiella","N.B","0"
"Bryohaplocladium","N.B","0"
"Claopodium","N.B","0"
"Lescuraea","N.B","0"
"Pyramidula","N.B","0"
"Harpanthus","N.B","0"
"Leptoscyphus","N.B","0"
"Mastigolejeunea","N.B","0"
"Rectolejeunea","N.B","0"
"Macromitrium","N.B","0"
"Plagiomnium","N.B","0"
"Leucodon","N.B","0"
"Pseudocryphaea","N.B","0"
"Zelometeorium","N.B","0"
"Orthotrichum","N.B","0"
"Coscinodon","N.B","0"
"Leptohymenium","N.B","0"
"Loeskeobryum","N.B","0"
"Pleurozium","N.B","0"
"Tritomaria","N.B","0"
"Metzgeria","N.B","0"
"Homalia","N.B","0"
"Homaliadelphus","N.B","0"
"Nardia","N.B","0"
"Hedwigia","N.B","0"
"Mnium","N.B","0"
