ID,order1,order2,Habitname,ESIS.Group,Old.Symbol,Intermediate.Revision,Revised.Symbol,First,Second,Last,ht.max
1,0,0,,,,,,,,,0
2,1,1,Tree,Tree,t,T,T,T,,,24
3,2,2,Shrub/Subshrub,Shrub/Subshrub,,S,S,S,,,3
4,3,3,Liana,Vine/Liana,v,L,L,L,,,12
5,4,4,Herb,Forb/Herb,,H,H,H,,,0.6
6,5,5,Forb,Forb/Herb,,HF,H.F,H,.,F,0.6
7,6,6,Graminoid,Forb/Herb,,HG,H.G,H,.,G,0.6
8,7,7,Epiphyte,Vine/Liana,e,E,E,E,.,,12
9,8,8,Nonvascular,Nonvascular,,N,N,N,.,,0
10,9,9,Bryophyte,Nonvascular,M,NB,N.B,N,.,B,0
11,10,10,Lichen,Biological Crusts,L,NL,N.L,N,.,L,0
12,11,11,Algae,Biological Crusts,A,NA,N.A,N,.,A,0
13,12,12,cyanobacteria,Biological Crusts,A,NA,N.AC,N,.,AC,0
14,13,13,red algae,Biological Crusts,A,NA,N.AR,N,.,AR,0
15,14,14,green algae,Biological Crusts,A,NA,N.AG,N,.,AG,0
16,15,15,brown algae,Biological Crusts,A,NA,N.AB,N,.,AB,0
17,16,16,yellow-green algae,Biological Crusts,A,NA,N.AY,N,.,AY,0
18,17,17,hornwort,Nonvascular,M,NB,N.BH,N,.,BH,0
19,18,18,liverwort,Nonvascular,M,NB,N.BL,N,.,BL,0
20,19,19,moss,Nonvascular,M,NB,N.BM,N,.,BM,0
21,20,20,crustose lichen,Biological Crusts,L,NL,N.LC,N,.,LC,0
22,21,21,foliose lichen,Biological Crusts,L,NL,N.LF,N,.,LF,0
23,22,22,fruticose lichen,Biological Crusts,L,NL,N.LR,N,.,LR,0
24,100,23,broadleaf tree,Tree,,,T.B,T,.,B,0
25,100,24,broadleaf deciduous tree,Tree,Dt,TBD,T.BD,T,.,BD,0
26,100,25,short broadleaf deciduous tree,Tree,Dt1,TBD1,T1BD,T,1,BD,12
27,100,26,tall broadleaf deciduous tree,Tree,Dt2,TBD2,T2BD,T,2,BD,24
28,100,27,broadleaf evergreen tree,Tree,Bt,TBE,T.BE,T,.,BE,0
29,100,28,short broadleaf evergreen tree,Tree,Bt1,TBE1,T1BE,T,1,BE,12
30,100,29,tall broadleaf evergreen tree,Tree,Bt2,TBE2,T2BE,T,2,BE,24
31,100,30,short sclerophyllous tree,Tree,,,T1BES,T,1,BES,12
32,100,31,tall sclerophyllous tree,Tree,Bt2,TBE2,T2BES,T,2,BES,24
33,100,32,graminoid tree,Tree,Gt,TG,T.G,T,.,G,0
34,100,33,short graminoid tree,Tree,Gt1,TG1,T1G,T,1,G,12
35,100,34,short microphyllous deciduous tree,Tree,,,T1MD,T,1,MD,12
36,100,35,microphyllous evergreen tree,Tree,,,T.ME,T,.,ME,0
37,100,36,short microphyllous evergreen tree,Tree,,,T1ME,T,1,ME,12
38,100,37,needleleaf deciduous tree,Tree,Nt,TND,T.ND,T,.,ND,0
39,100,38,short needleleaf deciduous tree,Tree,Nt1,TND1,T1ND,T,1,ND,12
40,100,39,tall needleleaf deciduous tree,Tree,Nt2,TND2,T2ND,T,2,ND,24
41,100,40,needleleaf evergreen tree,Tree,Et,TNE,T.NE,T,.,NE,0
42,100,41,short needleleaf evergreen tree,Tree,Et1,TNE1,T1NE,T,1,NE,12
43,100,42,tall needleleaf evergreen tree,Tree,Et2,TNE2,T2NE,T,2,NE,24
44,100,43,rosette tree,Tree,Rt,TP,T.P,T,.,P,0
45,100,44,short rosette tree,Tree,Rt1,TP1,T1P,T,1,P,12
46,100,45,tall rosette tree,Tree,Rt2,TP2,T2P,T,2,P,24
47,100,46,succulent tree,Tree,Ct,TU,T.U,T,.,U,0
48,100,47,short succulent tree,Tree,Ct1,TU1,T1U,T,1,U,12
49,150,48,tree fern,Tree Fern,Ot,TF,T.F,T,.,F,0
50,190,49,short parasitic tree,Tree,Pt1,TBP1,T1Bi,T,1,Bi,12
51,190,50,parasitic tree,Tree,Pt,TBP,T.Bi,T,.,Bi,0
52,200,51,broadleaf deciduous shrub/subshrub,Shrub/Subshrub,,,S.B,S,.,B,0
53,200,52,broadleaf deciduous shrub/subshrub,Shrub/Subshrub,,,S.BD,S,.,BD,0
54,200,53,broadleaf deciduous subshrub,Shrub/Subshrub,Du,SBD1,S1BD,S,1,BD,0.3
55,200,54,broadleaf deciduous shrub,Shrub/Subshrub,Ds,SBD2,S2BD,S,2,BD,3
56,200,55,broadleaf evergreen shrub/subshrub,Shrub/Subshrub,,,S.BE,S,.,BE,0
57,200,56,broadleaf evergreen subshrub,Shrub/Subshrub,Bu,SBE1,S1BE,S,1,BE,0.3
58,200,57,broadleaf evergreen shrub,Shrub/Subshrub,Bs,SBE2,S2BE,S,2,BE,3
59,200,58,sclerophyllous subshrub,Shrub/Subshrub,Bu,SBE1,S1BES,S,1,BES,0.3
60,200,59,sclerophyllous shrub,Shrub/Subshrub,,,S2BES,S,2,BES,3
61,200,60,fern shrub/subshrub,Shrub/Subshrub,,,S.F,S,.,F,0
62,200,61,graminoid subshrub,Shrub/Subshrub,Gu,SG1,S1G,S,1,G,0.3
63,200,62,graminoid shrub,Shrub/Subshrub,Gs,SG2,S2G,S,2,G,3
64,200,63,microphyllous deciduous subshrub,Shrub/Subshrub,,,S1MD,S,1,MD,0.3
65,200,64,microphyllous deciduous shrub,Shrub/Subshrub,,,S2MD,S,2,MD,3
66,200,65,microphyllous evergreen subshrub,Shrub/Subshrub,,,S1ME,S,1,ME,0.3
67,200,66,microphyllous evergreen shrub,Shrub/Subshrub,,,S2ME,S,2,ME,3
68,200,67,needleleaf deciduous shrub,Shrub/Subshrub,Ns,SND2,S2ND,S,2,ND,3
69,200,68,needleleaf evergreen shrub/subshrub,Shrub/Subshrub,,,S.NE,S,.,NE,0
70,200,69,needleleaf evergreen subshrub,Shrub/Subshrub,Eu,SNE1,S1NE,S,1,NE,0.3
71,200,70,needleleaf evergreen shrub,Shrub/Subshrub,Es,SNE2,S2NE,S,2,NE,3
72,200,71,rosette shrub/subshrub,Shrub/Subshrub,,,S.P,S,.,P,0
73,200,72,rosette subshrub,Shrub/Subshrub,Ru,SP1,S1P,S,1,P,0.3
74,200,73,rosette shrub,Shrub/Subshrub,Rs,SP2,S2P,S,2,P,3
75,200,74,succulent shrub/subshrub,Shrub/Subshrub,,,S.U,S,.,U,0
76,200,75,succulent subshrub,Shrub/Subshrub,Cu,SU1,S1U,S,1,U,0.3
77,200,76,succulent shrub,Shrub/Subshrub,Cs,SU2,S2U,S,2,U,3
78,250,77,subshrub fern,Tree Fern,Ou,SF1,S1F,S,1,F,0.3
79,250,78,shrub fern,Tree Fern,Os,SF2,S2F,S,2,F,3
80,290,79,parasitic subshrub,Shrub/Subshrub,Pu,SBP1,S1Bi,S,1,Bi,0.3
81,290,80,parasitic shrub,Shrub/Subshrub,Ps,SBP2,S2Bi,S,2,Bi,3
82,290,81,microphyllous parasitic subshrub,Shrub/Subshrub,,,S1Mi,S,1,Mi,0.3
83,300,82,broadleaf vine,Vine/Liana,,,L.B,L,.,B,12
84,300,83,broadleaf deciduous vine,Vine/Liana,Dv,LBD,L.BD,L,.,BD,12
85,300,84,broadleaf evergreen vine,Vine/Liana,Bv,LBE,L.BE,L,.,BE,12
86,300,85,graminoid vine,Vine/Liana,Gv,LG,L.G,L,.,G,12
87,300,86,microphyllous evergreen vine,Vine/Liana,Ev,LNE,L.ME,L,.,ME,12
88,300,87,succulent vine,Vine/Liana,Cv,LU,L.U,L,.,U,12
89,300,88,parasitic vine,Shrub/Subshrub,Pv,LBP,L.Bi,L,.,Bi,12
90,400,89,aquatic herb,Forb/Herb,Ah,HA,H.A,H,.,A,0.6
91,400,90,annual aquatic herb,Forb/Herb,Ah1,HA1,H1A,H,1,A,0.6
92,400,91,perennial aquatic herb,Forb/Herb,Ah2,HA2,H2A,H,2,A,0.6
93,400,92,annual forb,Forb/Herb,Fh1,HF1,H1F,H,1,F,0.6
94,400,93,perennial forb,Forb/Herb,Fh2,HF2,H2F,H,2,F,0.6
95,400,94,succulent forb,Forb/Herb,,,H.FS,H,.,FS,0.6
96,400,95,annual succulent forb,Forb/Herb,Ch1,HFS1,H1FS,H,1,FS,0.6
97,400,96,perennial succulent forb,Forb/Herb,Ch2,HFS2,H2FS,H,2,FS,0.6
98,400,97,herbaceous vine,Forb/Herb,,,H.FV,H,.,FV,0.6
99,400,98,annual herbaceous vine,Vine/Liana,Vh1,HFV1,H1FV,H,1,FV,0.6
100,400,99,perennial herbaceous vine,Vine/Liana,Vh2,HFV2,H2FV,H,2,FV,0.6
101,420,100,cool season graminoid,Grass/grass-like,Gh,HGC,H.GC,H,.,GC,0.6
102,420,101,annual cool season graminoid,Grass/grass-like,Gh1,HGC1,H1GC,H,1,GC,0.6
103,420,102,perennial cool season graminoid,Grass/grass-like,Gh2,HGC2,H2GC,H,2,GC,0.6
104,420,103,warm season graminoid,Grass/grass-like,,HGW,H.GW,H,.,GW,0.6
105,420,104,annual warm season graminoid,Grass/grass-like,Wh1,HGW1,H1GW,H,1,GW,0.6
106,420,105,perennial warm season graminoid,Grass/grass-like,Wh2,HGW2,H2GW,H,2,GW,0.6
107,450,106,seedless forb,Fern/fern ally,Oh,HFE,H.FE,H,.,FE,0.6
108,490,107,parasitic herb,Forb/Herb,Ph,HFP,H.Fi,H,.,Fi,0.6
109,490,108,annual parasitic forb,Forb/Herb,Ph1,HFP1,H1Fi,H,1,Fi,0.6
110,490,109,perennial parasitic herb,Forb/Herb,Ph2,HFP2,H2Fi,H,2,Fi,0.6
111,490,110,parasitic herb,Forb/Herb,,,H.i,H,.,i,0.6
112,900,111,freeliving epiphyte,Vine/Liana,Fe,EF,E.F,E,.,F,12
113,900,112,parasitic epiphyte,Vine/Liana,Pe,EP,E.i,E,.,i,12
114,1000,113,parasitic plant,,,,i,i,,,0
115,100,114,sclerophyllous tree,Tree,Bt,TBE,T.BES,T,.,BES,0
