"Scientific.Name","AGCP","AW","CB","EMP","GP","HI","MW","NCNE","WMVC","AK","other"
"Abelmoschus moschatus",NA,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Abies amabilis",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,0,NA
"Abies balsamea",NA,NA,NA,0.5,0.5,NA,0.75,0.5,NA,NA,NA
"Abies bifolia",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Abies fraseri",NA,NA,NA,0.25,NA,NA,NA,0.25,NA,NA,NA
"Abies grandis",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Abies lasiocarpa",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,0,NA
"Abies procera",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Abildgaardia ovata",0.75,NA,0.5,NA,NA,0.75,NA,NA,NA,NA,NA
"Abrus precatorius",0,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Abutilon auritum",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Abutilon indicum",NA,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Abutilon theophrasti",0.25,0,NA,0,0,NA,0.25,0.25,0.25,NA,NA
"Acacia confusa",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Acaena exigua",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Acalypha amentacea",0.5,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Acalypha bisetosa",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha gracilens",0.5,NA,NA,0.5,0.5,NA,0.25,0.25,NA,NA,NA
"Acalypha poiretii",0.25,NA,0,0.25,0.25,0,NA,0.25,NA,NA,NA
"Acalypha rhomboidea",0.5,NA,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Acalypha virginica",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,NA,NA,NA
"Acanthocereus tetragonus",0.5,NA,0,NA,0.25,0,NA,NA,NA,NA,NA
"Acanthomintha ilicifolia",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer circinatum",NA,0.5,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA
"Acer glabrum",NA,0.5,NA,NA,0.5,NA,0.5,NA,0.25,0.25,NA
"Acer grandidentatum",NA,0.25,NA,NA,0.5,NA,NA,NA,0.25,NA,NA
