"ac.binomial","Northwest","Southwest","NorthCentral","Southcentral","Northeast","Southeast","Alaska","Hawaii","Caribbean","CanadaWest","CanadaEast","Arctic","Mexico"
"Aakia tuerckheimii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abarema idiopoda",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abarema zolleriana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abatia mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abdra aprica",0,0,1,1,1,1,0,0,0,0,0,0,0
"Abdra brachycarpa",0,0,1,1,1,1,0,0,0,0,0,0,0
"Abelia mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abelia occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies amabilis",1,1,0,0,0,0,1,0,0,1,0,0,0
"Abies balsamea",0,0,1,0,1,1,0,0,0,1,1,0,0
"Abies bifolia",1,1,0,0,0,0,0,0,0,1,0,1,0
"Abies bracteata",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abies concolor",1,1,0,0,0,0,0,0,0,0,0,0,1
"Abies durangensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies fraseri",0,0,0,0,1,1,0,0,0,0,0,0,0
"Abies grandis",1,1,0,0,0,0,0,0,0,1,0,0,0
"Abies guatemalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies hickelii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies hidalgensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies lasiocarpa",1,1,0,0,0,0,1,0,0,1,0,1,0
"Abies lowiana",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abies magnifica",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abies procera",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abies religiosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abies vejarii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abildgaardia ovata",0,0,0,0,0,1,0,0,1,0,0,0,1
"Abrodictyum rigidum",0,0,0,0,0,0,0,0,1,0,0,0,1
"Abronia alpina",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia ameliae",0,0,0,1,0,0,0,0,0,0,0,0,0
"Abronia ammophila",1,0,0,0,0,0,0,0,0,0,0,0,0
"Abronia angustifolia",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abronia bigelovii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia bolackii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia elliptica",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia fragrans",1,1,1,1,0,0,0,0,0,0,0,0,1
"Abronia glabrifolia",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia gracilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abronia latifolia",1,1,0,0,0,0,0,0,0,1,0,0,0
"Abronia macrocarpa",0,0,0,1,0,0,0,0,0,0,0,0,0
"Abronia maritima",0,1,0,0,0,0,0,0,0,0,0,0,1
"Abronia mellifera",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia nana",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia nealleyi",0,1,0,1,0,0,0,0,0,0,0,0,0
"Abronia pogonantha",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia turbinata",1,1,0,0,0,0,0,0,0,0,0,0,0
"Abronia umbellata",1,1,0,0,0,0,0,0,0,1,0,0,1
"Abronia villosa",0,1,0,0,0,0,0,0,0,0,0,0,1
"Abuta chiapasensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abuta panamensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abuta steyermarkii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon abutiloides",0,1,0,1,0,0,0,0,1,0,0,0,1
"Abutilon andrieuxii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon bastardioides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon berlandieri",0,0,0,1,0,0,0,0,0,0,0,0,1
"Abutilon bracteosum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon californicum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon coahuilae",0,1,0,0,0,0,0,0,0,0,0,0,1
"Abutilon divaricatum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon dugesii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon eremitopetalum",0,0,0,0,0,0,0,1,0,0,0,0,0
"Abutilon fruticosum",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abutilon glabriflorum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon grandidentatum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon haenkeanum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon hulseanum",0,0,0,1,0,1,0,0,0,0,0,0,1
"Abutilon hypoleucum",0,0,0,1,0,0,0,0,0,0,0,0,1
"Abutilon incanum",0,1,0,1,0,0,0,1,0,0,0,0,1
"Abutilon indicum",0,0,0,0,0,0,0,0,1,0,0,0,0
"Abutilon macvaughii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon malacum",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abutilon menziesii",0,0,0,0,0,0,0,1,0,0,0,0,0
"Abutilon mollicomum",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abutilon mucronatum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon palmeri",0,1,0,0,0,0,0,0,0,0,0,0,1
"Abutilon parishii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Abutilon parvulum",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abutilon percaudatum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon permolle",0,0,0,0,0,1,0,0,0,0,0,0,1
"Abutilon pinkavae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon procerum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon reventum",0,1,0,0,0,0,0,0,0,0,0,0,1
"Abutilon sandwicense",0,0,0,0,0,0,0,1,0,0,0,0,0
"Abutilon simulans",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon sphaerostaminum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon straminicarpum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon tehuantepecense",0,0,0,0,0,0,0,0,0,0,0,0,1
"Abutilon trisulcatum",0,0,0,1,0,0,0,0,0,0,0,0,1
"Abutilon wrightii",0,1,0,1,0,0,0,0,0,0,0,0,1
"Abutilon xanti",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acacia koa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Acacia koaia",0,0,0,0,0,0,0,1,0,0,0,0,0
"Acaciella angustissima",0,1,1,1,0,1,0,0,0,0,0,0,1
"Acaciella barrancana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella bicolor",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella chamelensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella goldmanii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella hartwegii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella igualensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella lemmonii",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acaciella painteri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella rosei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella sousae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella tequilana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaciella villosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaena elongata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acaena exigua",0,0,0,0,0,0,0,1,0,0,0,0,0
"Acaena pinnatifida",0,1,0,0,0,0,0,0,0,0,0,0,0
"Acalypha adenostachya",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha aliena",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha alopecuroidea",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acalypha anadenia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha arvensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha bisetosa",0,0,0,0,0,0,0,0,1,0,0,0,0
"Acalypha botteriana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha brevicaulis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha burquezii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha californica",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acalypha chamaedrifolia",0,0,0,0,0,1,0,0,1,0,0,0,0
"Acalypha chiapensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha cincta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha cinerea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Acalypha comonduana",0,0,0,0,0,0,0,0,0,0,0,0,1
