"kingdom","phylum","class","order","family","type"
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Capsosiraceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitleriaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Merismopediaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Chlorogloeopsidaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Stigonemataceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Symphyonemataceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Tolypothrichaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Borziaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Coleofasciculaceae","Cyanobacteria"
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Homoeotrichaceae","Cyanobacteria"
