"family","genus","type"
"Aerosakkonemataceae","Microseira","Cyanobacteria"
"Capsosiraceae","Capsosira","Cyanobacteria"
"Coleofasciculaceae","Moorea","Cyanobacteria"
"Geitleriaceae","Geitleria","Cyanobacteria"
"Girvanellaceae","Mitcheldeania","Cyanobacteria"
"Girvanellaceae","Ottonosia","Cyanobacteria"
"Girvanellaceae","Stromatocerium","Cyanobacteria"
"Microcoleaceae","Affixifilum","Cyanobacteria"
"Microcoleaceae","Leibleinia","Cyanobacteria"
"Microcoleaceae","Neolyngbya","Cyanobacteria"
"Microcoleaceae","Symplocastrum","Cyanobacteria"
"Nostocaceae","Aetokthonos","Cyanobacteria"
"Nostocaceae","Anabaina","Cyanobacteria"
"Nostocaceae","Hormothamnion","Cyanobacteria"
"Nostocaceae","Hormothamnium","Cyanobacteria"
"Nostocaceae","Komarekiella","Cyanobacteria"
"Rivulariaceae","Amphithrix","Cyanobacteria"
"Rivulariaceae","Phyllonema","Cyanobacteria"
"Stigonemataceae","Sirosiphon","Cyanobacteria"
"Trichocoleusaceae","Dasygloea","Cyanobacteria"
"Trichocoleusaceae","Sirocoleum","Cyanobacteria"
"Trichocoleusaceae","Trichocoleus","Cyanobacteria"
"Merismopediaceae","Aphanocapsa","Cyanobacteria"
"Microcystaceae","Gloeocapsa","Cyanobacteria"
"Aphanizomenonaceae","Anabaenopsis","Cyanobacteria"
"Aphanizomenonaceae","Aphanizomenon","Cyanobacteria"
"Aphanizomenonaceae","Chrysosporum","Cyanobacteria"
"Aphanizomenonaceae","Cuspidothrix","Cyanobacteria"
"Aphanizomenonaceae","Cylindrospermopsis","Cyanobacteria"
"Aphanizomenonaceae","Dolichospermum","Cyanobacteria"
"Aphanizomenonaceae","Hydrocoryne","Cyanobacteria"
"Aphanizomenonaceae","Nodularia","Cyanobacteria"
"Aphanizomenonaceae","Raphidiopsis","Cyanobacteria"
"Chlorogloeopsidaceae","Chlorogloeopsis","Cyanobacteria"
"Hapalosiphonaceae","Fischerella","Cyanobacteria"
"Hapalosiphonaceae","Hapalosiphon","Cyanobacteria"
"Hapalosiphonaceae","Mastigocladus","Cyanobacteria"
"Hapalosiphonaceae","Mastigocoleus","Cyanobacteria"
"Hapalosiphonaceae","Nostochopsis","Cyanobacteria"
"Microchaetaceae","Fortiea","Cyanobacteria"
"Microchaetaceae","Hassallia","Cyanobacteria"
"Microchaetaceae","Microchaete","Cyanobacteria"
