"taxon","auth","gbif","usda"
"Lyngbya wollei","Farlow","Microseira wollei",
"Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Microseira wollei",
"Capsosira brebissonii","Kütz. ex Bornet & Flahault","Capsosira brebissonii",
"Moorea bouillonii","","Moorea bouillonii",
"Geitleria calcarea","Friedmann, 1955","Geitleria calcarea",
"Mitcheldeania nicholsoni","Wethered, 1886","Mitcheldeania nicholsoni",
"Ottonosia laminata","Twenhofel, 1919","Ottonosia laminata",
"Stromatocerium richmondense","(Miller, 1882)","Stromatocerium richmondense",
"Affixifilum granulosum","(Caires, Sant'Anna & Nunes) Lefler, D.E.Berthold & Laughinghouse","Affixifilum granulosum",
"Leibleinia agardhii","(P.L.Crouan & H.M.Crouan) Anagn. & Komárek","Leibleinia agardhii",
"Leibleinia epiphytica","(Hieron.) Compère","Leibleinia epiphytica",
"Lyngbya epiphytica","Hieron.","Leibleinia epiphytica",
"Leibleinia willei","(Setchell & N.L.Gardner) P.C.Silva","Leibleinia willei",
"Neolyngbya arenicola","T.A.Caires, C.L.Sant'Anna & J.M.C.Nunes","Neolyngbya arenicola",
"Symplocastrum coccineum","(Gomont) Anagnostidis, 2001","Symplocastrum coccineum",
"Schizothrix friesii","Gomont","Symplocastrum friesii",
"Symplocastrum friesii","(Gomont) Kirchn.","Symplocastrum friesii",
"Symplocastrum muelleri","(Nägeli ex Gomont) Anagn.","Symplocastrum muelleri",
"Schizothrix purpurascens","Gomont ex Gomont","Symplocastrum purpurascens",
"Symplocastrum purpurascens","(Gomont) Anagn.","Symplocastrum purpurascens",
"Aetokthonos hydrillicola","","Aetokthonos hydrillicola",
"Anabaina pseudoscillatoria","Bory de Saint Vincent","Anabaina pseudoscillatoria",
"Hormothamnion enteromorphoides","","Hormothamnion enteromorphoides",
"Hormothamnium solutum","Bornet & Grunow","Hormothamnium solutum",
"Komarekiella atlantica","Hentschke, J.R.Johansen & Sant'Anna","Komarekiella atlantica",
"Amphithrix violacea","(Kützing) Bornet & Flahault, 1886","Amphithrix violacea",
"Phyllonema aviceniicola","D.O.Alvarenga et al.","Phyllonema aviceniicola",
"Sirosiphon ocellatum","(Dillwyn) Kützing","Sirosiphon ocellatum",
"Dasygloea lamyi","(Gomont) Senna & Komárek","Dasygloea lamyi",
"Schizothrix lamyi","Gomont","Dasygloea lamyi",
"Sirocoleum kurzii","Gomont","Sirocoleum kurzii",
"Microcoleus acutissimus","Gardner, 1927","Trichocoleus acutissimus",
"Trichocoleus acutissimus","(Gardner) Anagnostidis, 2001","Trichocoleus acutissimus",
"Schizothrix tenerrima","(Gomont) F.E.Drouet","Trichocoleus tenerrimus",
"Trichocoleus tenerrimus","(Gomont) Anagn.","Trichocoleus tenerrimus",
"Aphanocapsa grevillei","(Berk.) Rabenh.","Aphanocapsa grevillei",
"Gloeocystis grevillei","(Berkeley) Drouet & Dailey, 1948","Aphanocapsa grevillei",
"Gloeocapsa polydermatica","Kütz.","Gloeocapsa polydermatica",
"Anabaenopsis circularis","(G.S.West) Wołosz. & V.V.Mill.","Anabaenopsis circularis",
"Aphanizomenon flos-aquae","(L.) Ralfs","Aphanizomenon flosaquae",
"Aphanizomenon flosaquae","Ralfs ex Bornet & Flahault","Aphanizomenon flosaquae",
"Chrysosporum bergii","(Ostenf.) Zapomelová et al.","Chrysosporum bergii",
"Cuspidothrix issatschenkoi","(Usačev) P.Rajan., Komárek, Willame, Hrouzek, Katovská, L.Hoffm. & Sivonen","Cuspidothrix issatschenkoi",
"Cylindrospermopsis raciborskii","(Wołosz.) Seenayya & Subbaraju","Cylindrospermopsis raciborskii",
"Dolichospermum affine","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum affine",
"Dolichospermum circinale","(Rabenh. ex Bornet & Flahault) Wacklin et al.","Dolichospermum circinale",
"Dolichospermum crassum","(Lemmerm.) Wacklin, L.Hoffm. & Komárek","Dolichospermum crassum",
"Dolichospermum curvum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum curvum",
"Anabaena flos-aquae","Bréb. ex Bornet & Flahault","Dolichospermum flosaquae",
"Dolichospermum flosaquae","(Bréb. ex Bornet & Flahault) Wacklin, L.Hoffm. & Komárek","Dolichospermum flosaquae",
"Dolichospermum fuscum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum fuscum",
"Dolichospermum lemmermannii","(P.G.Richt.) Wacklin, L.Hoffm. & Komárek","Dolichospermum lemmermannii",
"Dolichospermum mendotae","(Trel.) Wacklin, L.Hoffm. & Komárek","Dolichospermum mendotae",
"Dolichospermum perturbatum","(H.Hill) Wacklin, L.Hoffm. & Komárek","Dolichospermum perturbatum",
"Dolichospermum planctonicum","(Brunnth.) Wacklin, L.Hoffm. & Komárek","Dolichospermum planctonicum",
"Dolichospermum sigmoideum","(Nygaard) Wacklin, L.Hoffm. & Komárek","Dolichospermum sigmoideum",
"Dolichospermum smithii","(Komárek) Wacklin, L.Hoffm. & Komárek","Dolichospermum smithii",
"Dolichospermum spiroides","(Kleb.) Wacklin, L.Hoffm. & Komárek","Dolichospermum spiroides",
"Dolichospermum viguieri","(Denis & Frémy) Wacklin, L.Hoffm. & Komárek","Dolichospermum viguieri",
"Hydrocoryne enteromorphoides","(Grunow ex Bornet & Flahault) Umezaki & M.Watanabe, 1994","Hydrocoryne enteromorphoides",
"Hydrocoryne spongiosa","Schwabe ex Bornet & Flahault","Hydrocoryne spongiosa",
"Nodularia harveyana","Thuret ex Bornet & Flahault","Nodularia harveyana",
"Nodularia hawaiiensis","Tilden, 1901","Nodularia hawaiiensis",
"Nodularia litorea","Thuret ex Komárek, Hübel, M.Hübel & Smarda","Nodularia litorea",
"Nodularia sphaerocarpa","Bornet & Flahault","Nodularia sphaerocarpa",
"Nodularia spumigena","Mert. ex Bornet & Flahault","Nodularia spumigena",
"Nostoc spumigena","(Mert.) Dr.","Nodularia spumigena",
"Nodularia willei","Gardner","Nodularia willei",
"Raphidiopsis brookii","Hill","Raphidiopsis brookii",
"Raphidiopsis curvata","F.E.Fritsch & Rich","Raphidiopsis curvata",
"Raphidiopsis mediterranea","Skuja","Raphidiopsis mediterranea",
"Raphidiopsis raciborskii","(Wołoszyńska, 1912) Aguilera et al., 2018","Raphidiopsis raciborskii",
"Chlorogloeopsis fritschii","(Mitra) Mitra & Pandey","Chlorogloeopsis fritschii",
"Fischerella ambigua","(Kütz. ex Bornet & Flahault) Gomont","Fischerella ambigua",
"Fischerella major","Gomont","Fischerella major",
"Fischerella muscicola","Gomont","Fischerella muscicola",
"Fischerella thermalis","","Fischerella thermalis",
"Hapalosiphon confervaceus","Borzi","Hapalosiphon confervaceus",
"Hapalosiphon hibernicus","W.West & G.S.West","Hapalosiphon hibernicus",
"Hapalosiphon intricatus","W.West & G.S.West","Hapalosiphon intricatus",
"Hapalosiphon laminosus","(Kuetzing) Hansg.","Hapalosiphon laminosus",
"Hapalosiphon fontinalis","(C.Agardh) Bornet","Hapalosiphon pumilus",
"Hapalosiphon pumilus","Kirchner ex Bornet & Flahault","Hapalosiphon pumilus",
"Hapalosiphon welwitschii","West & G.S.West","Hapalosiphon welwitschii",
"Fischerella laminosus","(Cohn) Castenholz","Mastigocladus laminosus",
"Mastigocladus laminosus","Cohn","Mastigocladus laminosus",
"Mastigocoleus testarum","Lagerh.","Mastigocoleus testarum",
"Nostochopsis lobatus","H.C.Wood ex Bornet & Flahault","Nostochopsis lobatus",
"Fortiea striatula","(Hy) De Toni","Fortiea striatula",
"Fortiea tenuissima","(W.West & G.S.West) De Toni","Fortiea tenuissima",
"Microchaete tenuissima","W.West & G.S.West","Fortiea tenuissima",
"Hassallia byssoidea","Hassall ex Bornet & Flahault","Hassallia byssoidea",
"Tolypothrix byssoidea","Kirchn.","Hassallia byssoidea",
"Microchaete aeruginea","Batters","Microchaete aeruginea",
"Microchaete diplosiphon","Gomont ex Bornet & Flahault","Microchaete diplosiphon",
"Fremyella grisea","(Thuret ex Bornet & Flahault) J.De Toni","Microchaete grisea",
"Microchaete grisea","Thur. ex Bornet & Flahault","Microchaete grisea",
"Microchaete robusta","Setchell & Gardner, 1903","Microchaete robusta",
"Microchaete spiralis","Ackley, 1919","Microchaete spiralis",
"Fremyella tenera","(Thur. ex Bornet & Flahault) De Toni","Microchaete tenera",
"Microchaete tenera","Thur. ex Bornet & Flahault","Microchaete tenera",
"Microchaete vitiensis","Askenasy ex Bornet & Flahault, 1886","Microchaete vitiensis",
"Anabaena aequalis","Borge","Anabaena aequalis",
"Anabaena bornetiana","Collins","Anabaena bornetiana",
"Anabaena catenula","(Kütz.) Bornet & Flahault","Anabaena catenula",
"Anabaena circinalis","Rabenhorst","Anabaena circinalis",
"Anabaena confervoides","Reinsch.","Anabaena confervoides",
"Anabaena cycadeae","J.Reinke","Anabaena cycadeae",
"Anabaena cylindrica","Lemmerm.","Anabaena cylindrica",
"Anabaena flosaquae ssp. treleasei","Bornet & Flahault, 1888","Anabaena flosaquae ssp. treleasei",
"Anabaena inaequalis","Bornet & Flahault","Anabaena inaequalis",
"Anabaena lapponica","Borge","Anabaena lapponica",
"Anabaena laxa","A.Braun ex Bornet & Flahault","Anabaena laxa",
"Anabaena lutea","","Anabaena lutea",
"Anabaena minutissima","Lemmerm.","Anabaena minutissima",
"Anabaena oscillarioides","Bory ex Bornet & Flahault","Anabaena oscillarioides",
