accsym,syn,sym,taxon
NAAM,ABAM4,ABAM4,Abama americana
NAAM,ABMO3,ABMO3,Abama montana
ABELI,,ABELI,Abelia
ABGR4,,ABGR4,Abelia ×grandiflora
ABELM,,ABELM,Abelmoschus
ABES,,ABES,Abelmoschus esculentus
ABMA9,,ABMA9,Abelmoschus manihot
ABMO,,ABMO,Abelmoschus moschatus
DOCA3,ABCA4,ABCA4,Aberia caffra
DOHE2,ABGA,ABGA,Aberia gardneri
ABIES,,ABIES,Abies
ABAL3,,ABAL3,Abies alba
ABAM,,ABAM,Abies amabilis
ABLAA,ABAR2,ABAR2,Abies arizonica
ABBA,,ABBA,Abies balsamea
ABLAL,ABBAL,ABBAL,Abies balsamea ssp. lasiocarpa
ABBAB,,ABBAB,Abies balsamea var. balsamea
ABLAL,ABBAF,ABBAF,Abies balsamea var. fallax
ABBAP,,ABBAP,Abies balsamea var. phanerolepis
ABLAL,ABBI3,ABBI3,Abies bifolia
ABBR,,ABBR,Abies bracteata
ABCO,,ABCO,Abies concolor
ABCO,ABCOC,ABCOC,Abies concolor var. concolor
ABLO,ABCOL,ABCOL,Abies concolor var. lowiana
ABFI,,ABFI,Abies firma
ABFR,,ABFR,Abies fraseri
ABGR,,ABGR,Abies grandis
ABGR,ABGRJ,ABGRJ,Abies grandis f. johnsonii
ABGR,ABGRI2,ABGRI2,Abies grandis ssp. idahoensis
ABGR,ABGRG,ABGRG,Abies grandis var. grandis
ABGR,ABGRI,ABGRI,Abies grandis var. idahoensis
ABGU,,ABGU,Abies guatemalensis
ABHO,,ABHO,Abies homolepis
ABLA,,ABLA,Abies lasiocarpa
ABLAL,ABLAB,ABLAB,Abies lasiocarpa ssp. bifolia
ABLAA,,ABLAA,Abies lasiocarpa var. arizonica
ABLAL,ABLAB2,ABLAB2,Abies lasiocarpa var. bifolia
ABLAL,,ABLAL,Abies lasiocarpa var. lasiocarpa
ABLO,,ABLO,Abies lowiana
ABMA,,ABMA,Abies magnifica
ABMAS,ABMAS2,ABMAS2,Abies magnifica ssp. shastensis
ABMAS,ABMAC,ABMAC,Abies magnifica var. critchfieldii
ABMAM,,ABMAM,Abies magnifica var. magnifica
ABMAS,,ABMAS,Abies magnifica var. shastensis
ABPR,ABNO,ABNO,Abies nobilis
ABPR,,ABPR,Abies procera
ABLAL,ABSU,ABSU,Abies subalpina
ABVE2,,ABVE2,Abies veitchii
ABBR,ABVE,ABVE,Abies venusta
ABBAP,ABPH,ABPH,Abies ×phanerolepis
ABMAS,ABSH,ABSH,Abies ×shastensis
ABIET,,ABIET,Abietinella
ABAB70,,ABAB70,Abietinella abietina
ABILD,,ABILD,Abildgaardia
ABOV,ABMO4,ABMO4,Abildgaardia monostachya
ABOV,,ABOV,Abildgaardia ovata
ABSA2,ABSA4,ABSA4,Abortopetalum sandwicense
TRDE8,ABDE,ABDE,Abrodictyum dentatum
TRSE9,ABSE,ABSE,Abrodictyum setigerum
ABROM,,ABROM,Abroma
ABAU3,ABAU2,ABAU2,Abroma augusta
ABAU3,,ABAU3,Abroma augustum
ABRON,,ABRON,Abronia
ABUMB,ABAC,ABAC,Abronia acutalata
ABUMU,ABAL2,ABAL2,Abronia alba
ABAL,,ABAL,Abronia alpina
ABAM2,,ABAM2,Abronia ameliae
ABAM3,,ABAM3,Abronia ammophila
ABAN,,ABAN,Abronia angustifolia
ABAN,ABANA,ABANA,Abronia angustifolia var. arizonica
ABAR,,ABAR,Abronia argillosa
