file,name,genname,wrmin,wrmax,dbhmin,dbhmax,crfill
araucaria1.svg,araucaria1,araucaria,,,,,darkgreen
cactus.svg,cactus,cactus,,,,,darkgreen
elm1.svg,elm1,elm,,,,,green
fanpalm.svg,fanpalm,fanpalm,,,,,greenyellow
featherpalm.svg,featherpalm,featherpalm,,,,,greenyellow
fir_old3.svg,fir_old3,fir,,,100,,darkgreen
fir3.svg,fir3,fir,,,,100,darkgreen
hardwood1.svg,hardwood1,hardwood,,1.5,,,green
hardwood2.svg,hardwood2,hardwood,1.5,2.5,,,green
hardwood3.svg,hardwood3,hardwood,2.5,,,,green
hemlock_old3.svg,hemlock_old3,hemlock,,,100,,darkgreen
hemlock2.svg,hemlock2,hemlock,,,,100,darkgreen
longleaf_sap.svg,longleaf_sap,longleaf_sap,,,,,yellowgreen
palmetto.svg,palmetto,palmetto,,,,,greenyellow
sagebrush.svg,sagebrush,sagebrush,,,,,palegreen2
spruce_old1.svg,spruce_old1,spruce,,1.5,100,,springgreen4
spruce_old2.svg,spruce_old2,spruce,1.5,2.5,100,,springgreen4
spruce_old3.svg,spruce_old3,spruce,2.5,,100,,springgreen4
spruce2.svg,spruce2,spruce,,,,100,springgreen4
subalpine.svg,subalpine,subalpine,,,,,springgreen4
wcedar.svg,wcedar,wcedar,,,,,darkgreen
wpine1.svg,wpine1,wpine,,1.5,,,lightgreen
wpine2.svg,wpine2,wpine,1.5,2.5,,,lightgreen
wpine3.svg,wpine3,wpine,2.5,,,,lightgreen
ypine1.svg,ypine1,ypine,,1.5,,,yellowgreen
ypine2.svg,ypine2,ypine,1.5,2.5,,,yellowgreen
ypine3.svg,ypine3,ypine,2.5,,,,yellowgreen
yucca.svg,yucca,yucca,,,,,lightgreen
