"Scientific.Name","preGH","Stem","Size","Leaf","GH","genus","ht.max"
"Abelia X grandiflora","S2BE","S","2","BE","S2BE","Abelia",3
"Abelmoschus esculentus","H2F","H","2","F","H2F","Abelmoschus",0.6
"Abelmoschus moschatus","H2F","H","2","F","H2F","Abelmoschus",0.6
"Abies alba","T2NE","T","2","NE","T2NE","Abies",34
"Abies amabilis","T2NE","T","2","NE","T2NE","Abies",75
"Abies balsamea","T2NE","T","2","NE","T2NE","Abies",25
"Abies bifolia","T2NE","T","2","NE","T2NE","Abies",35
"Abies bracteata","T2NE","T","2","NE","T2NE","Abies",25
"Abies concolor","T2NE","T","2","NE","T2NE","Abies",45
"Abies firma","T2NE","T","2","NE","T2NE","Abies",34
"Abies fraseri","T2NE","T","2","NE","T2NE","Abies",25
"Abies grandis","T2NE","T","2","NE","T2NE","Abies",65
"Abies lasiocarpa","T2NE","T","2","NE","T2NE","Abies",30
"Abies magnifica","T2NE","T","2","NE","T2NE","Abies",50
"Abies procera","T2NE","T","2","NE","T2NE","Abies",75
"Abies X shastensis","T.NE","T","2","NE","T2NE","Abies",34
"Abildgaardia ovata","H2GC","H","2","GC","H2GC","Abildgaardia",0.6
"Abronia alpina","H2F","H","2","F","H2F","Abronia",0.6
"Abronia ameliae","H2F","H","2","F","H2F","Abronia",0.6
"Abronia ammophila","H2F","H","2","F","H2F","Abronia",0.6
"Abronia angustifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia bigelovii","H2F","H","2","F","H2F","Abronia",0.6
"Abronia bolackii","H2F","H","2","F","H2F","Abronia",0.6
"Abronia fragrans","H2F","H","2","F","H2F","Abronia",0.6
"Abronia elliptica","H2F","H","2","F","H2F","Abronia",0.6
"Abronia glabrifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia latifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia macrocarpa","H2F","H","2","F","H2F","Abronia",0.6
"Abronia maritima","H2F","H","2","F","H2F","Abronia",0.6
"Abronia mellifera","H2F","H","2","F","H2F","Abronia",0.6
"Abronia nana","H2F","H","2","F","H2F","Abronia",0.6
"Abronia pogonantha","H1F","H","2","F","H2F","Abronia",0.6
"Abronia turbinata","H2F","H","2","F","H2F","Abronia",0.6
"Abronia umbellata","H1FS","H","2","FS","H2FS","Abronia",0.6
"Abronia villosa","H1F","H","1","F","H1F","Abronia",0.6
"Abronia X insularis","","H","2","F","H2F","Abronia",0.6
"Abrus precatorius","L.BD","L",".","BD","L.BD","Abrus",12
"Abutilon abutiloides","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon auritum","S1BE","S","2","BE","S2BE","Abutilon",3
"Abutilon berlandieri","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon coahuilae","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon eremitopetalum","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon fruticosum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon grandifolium","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon hirtum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon hulseanum","H2F","H","2","F","H2F","Abutilon",0.6
