"SYMBOL","Common Name"
"2ALGA","Alga"
"2AB","Alga, Brown"
"2AFW","Alga, Freshwater"
"2AG","Alga, Green"
"2AM","Alga, Marine"
"2AR","Alga, Red"
"2BACT","Bacteria"
"2BARE","Bare Ground"
"2BRY","Bryophyte (moss, liverwort, hornwort)"
"2CYAN","Cyanobacteria"
"2DIAT","Diatom"
"2DINO","Dinoflagellate"
"2FERN","Fern or Fern Ally"
"2FORB","Forb (herbaceous, not grass nor grass-like)"
"2FA","Forb, annual"
"2FB","Forb, biennial"
"2FD","Forb, dicot"
"2FDA","Forb, dicot, annual"
"2FDB","Forb, dicot, biennial"
"2FDP","Forb, dicot, perennial"
"2FI","Forb, introduced"
"2FM","Forb, monocot"
"2FMA","Forb, monocot, annual"
"2FMB","Forb, monocot, biennial"
"2FMP","Forb, monocot, perennial"
"2FN","Forb, native"
"2FP","Forb, perennial"
"2FS","Forb, succulent"
"2FSA","Forb, succulent, annual"
"2FSB","Forb, succulent, biennial"
"2FSP","Forb, succulent, perennial"
"2FUNGI","Fungus"
"2FF","Fungus, fleshy (mushroom)"
"2FJ","Fungus, Jelly"
"2FR","Fungus, Rust"
"2FSMUT","Fungus, Smut"
"2GRAM","Graminoid (grass or grass-like)"
"2GA","Grass, annual"
"2GB","Grass, biennial"
"2GI","Grass, introduced"
"2GN","Grass, native"
"2GP","Grass, perennial"
"2GW","Grass, woody (bamboo, etc.)"
"2GL","Grass-like (not a true grass)"
"2GLA","Grass-like, annual"
"2GLB","Grass-like, biennial"
"2GLP","Grass-like, perennial"
"2HORN","Hornwort"
"2LICHN","Lichen"
"2LC","Lichen, crustose"
"2LCB","Lichen, crustose, bullate (inflated)"
"2LCE","Lichen, crustose, endolithic"
"2LCN","Lichen, crustose, endophloeodic"
"2LCGEL","Lichen, crustose, gelatinous"
"2LCGON","Lichen, crustose, goniocysts"
"2LCP","Lichen, crustose, powdery"
"2LCQ","Lichen, crustose, squamulose"
